_id,DATE,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS
442,2020-07-22T00:00:00,Hispanic or Latino,541,87,1
443,2020-07-22T00:00:00,Not Hispanic or Latino,5971,421,3
444,2020-07-22T00:00:00,Unknown,5687,426,9
445,2020-07-23T00:00:00,Hispanic or Latino,530,100,0
446,2020-07-23T00:00:00,Not Hispanic or Latino,5736,459,3
447,2020-07-23T00:00:00,Unknown,5872,434,7
448,2020-07-24T00:00:00,Hispanic or Latino,518,100,0
449,2020-07-24T00:00:00,Not Hispanic or Latino,5980,432,5
450,2020-07-24T00:00:00,Unknown,5905,379,6
451,2020-07-25T00:00:00,Hispanic or Latino,172,81,0
